"","date","three.day.avg.cfs","three.day.avg.fnu"
"1",2012-01-25,27327.0243055556,64.3840277777778
"2",2012-01-26,28806.0555555556,72.8211805555556
"3",2012-01-27,27681.9930555556,66.3302083333333
"4",2012-12-02,32188.8506944444,50.0239583333333
"5",2012-12-03,44874.6631944444,93.0791666666667
"6",2012-12-04,53511.9861111111,119.542361111111
"7",2012-12-05,56504.8888888889,168.487152777778
"8",2012-12-06,56841.9097222222,174.264236111111
"9",2012-12-07,56817.46875,172.287847222222
"10",2012-12-08,56821.3229166667,143.207986111111
"11",2012-12-09,55466.1701388889,125.293402777778
"12",2012-12-10,51637.8506944444,111.212152777778
"13",2012-12-11,46128.2048611111,85.3263888888889
"14",2012-12-12,40272.5173611111,68.284375
"15",2012-12-13,35447.0729166667,57.7690972222222
"16",2012-12-24,46167.8055555556,76.3635416666667
"17",2012-12-25,56714.6840277778,102.696180555556
"18",2012-12-26,64138.6076388889,111.418055555556
"19",2012-12-27,67495.9722222222,93.1208333333333
"20",2012-12-28,67715.4131944444,77.7329861111111
"21",2012-12-29,65517.2743055556,67.3222222222222
"22",2012-12-30,61942.4201388889,59.4038194444444
"23",2012-12-31,56611.9201388889,54.7017361111111
"24",2014-12-07,25741.6666666667,94.290625
"25",2014-12-08,26341.9082125604,109.484375
"26",2014-12-13,29010.5902777778,86.5420138888889
"27",2014-12-14,38693.4027777778,168.360069444444
"28",2014-12-15,47052.4305555556,221.125
"29",2014-12-16,51571.5277777778,212.284722222222
"30",2014-12-17,53295.8333333333,145.871527777778
"31",2014-12-18,52129.1666666667,103.249847374847
"32",2014-12-19,50146.5277777778,84.9533195970696
"33",2014-12-20,49783.6805555556,81.0536668192918
"34",2014-12-21,49787.1527777778,73.0336805555556
"35",2014-12-22,49709.7222222222,80.2479166666667
"36",2014-12-23,49311.6696859903,79.2221467391304
"37",2014-12-24,48099.1696859903,82.1763134057971
"38",2014-12-25,44834.586352657,65.1523550724638
"39",2014-12-26,39996.875,55.928125
"40",2017-01-10,81275,62.375
"41",2017-01-11,87860.4166666667,79.40625
"42",2017-01-12,89140.2777777778,85.7708333333333
"43",2017-01-13,87009.0277777778,74.5034722222222
"44",2017-01-14,83871.5277777778,65.1770833333333
"45",2017-01-15,80811.4583333333,59.8368055555556
"46",2017-01-16,79507.6388888889,56.8020833333333
"47",2017-01-17,77978.125,55.4236111111111
"48",2017-01-18,77586.8055555555,53.5277777777778
"49",2017-01-19,77423.9583333333,55.4895833333333
"50",2017-01-20,78013.1944444444,55.2569444444444
"51",2017-01-21,78184.7222222222,54.7604166666667
"52",2017-01-22,76636.1111111111,53.0972222222222
"53",2017-01-23,75227.4305555556,54.8680555555556
"54",2017-01-24,73225,56.0729166666667
"55",2017-01-25,72502.0833333333,56.8020833333333
"56",2017-01-26,71131.25,58.5868055555556
"57",2017-01-27,70664.5833333333,58.4375
"58",2017-01-28,69390.625,55.7881944444444
"59",2019-01-11,30380.9027777778,54.5545138888889
"60",2019-01-12,32265.625,64.046875
"61",2019-01-13,32737.1527777778,64.3472222222222
"62",2019-01-14,30623.6111111111,54.2625
"63",2019-01-18,34113.8888888889,51.1381944444444
"64",2019-01-19,42919.7916666667,108.913541666667
"65",2019-01-20,50529.5138888889,146.903125
"66",2019-01-21,54251.3888888889,152.790972222222
"67",2019-01-22,55625.3472222222,110.991319444444
"68",2019-01-23,55258.3333333333,85.0760416666667
"69",2019-01-24,53831.9444444444,71.7364583333333
"70",2019-01-25,50765.625,66.8128472222222
"71",2019-01-26,45655.5555555556,58.6690368357488
"72",2019-01-27,39842.7083333333,51.3742451690821
"73",2021-12-17,27535.6662933931,66.8892945906433
"74",2021-12-18,28199.1750653229,55.1694407894737
"75",2021-12-19,26738.7879494836,60.6416045321637
"76",2021-12-26,29098.6111111111,51.8163194444444
"77",2021-12-27,33027.4305555556,56.8711805555556
"78",2021-12-28,32767.576754386,52.6545138888889
