date,CLC.C.smelt,CLC.F.smelt,msd.F,ppt.F
2023-06-01,19.5,67.1,65.51354166666667,67.82916666666667
2023-06-02,19.7,67.46,66.071875,68.365625
2023-06-03,20.1,68.18,66.98541666666667,68.81979166666666
2023-06-04,20.6,69.08,67.85263157894737,69.49684210526316
2023-06-05,20.9,69.62,68.29684210526315,69.70736842105264
2023-06-06,20.6,69.08,68.16,69.40947368421052
2023-06-07,20.4,68.72,67.31041666666667,69.23958333333333
2023-06-08,20.1,68.18,66.90416666666667,69.42916666666666
2023-06-09,20,68,67.10833333333333,69.21979166666667
2023-06-10,19.9,67.82,66.82,68.7578947368421
2023-06-11,19.6,67.28,66.62,68.67263157894737
2023-06-12,19.8,67.64,66.62083333333334,68.74895833333333
2023-06-13,20.2,68.36,67.02,68.77604166666667
2023-06-14,20.6,69.08,67.66875,69.07604166666667
2023-06-15,20.9,69.62,68.49894736842106,69.35157894736842
2023-06-16,21.4,70.52,69.45638297872341,69.58631578947369
2023-06-17,21.9,71.42,70.14526315789473,69.96842105263158
2023-06-18,21.5,70.7,70.50833333333334,70.58854166666667
2023-06-19,21.1,69.98,69.51354166666667,70.51979166666666
2023-06-20,20.7,69.25999999999999,68.07789473684211,70.34270833333333
2023-06-21,20.6,69.08,67.01354166666667,70.41145833333333
2023-06-22,20.2,68.36,66.54477611940298,69.93731343283582
2023-06-23,20.3,68.54,66.73958333333333,70.15208333333334
2023-06-24,20.4,68.72,66.94270833333333,70.07916666666667
2023-06-25,20.3,68.54,66.790625,70.009375
2023-06-26,20.9,69.62,66.66770833333334,70.10520833333334
2023-06-27,20.8,69.44,66.73020833333334,70.6
2023-06-28,20.2,68.36,66.5,70.3
